FunciÃ³n, BestFness, BestFness, BestFness, BestFness
1,1.0861e+07,2.2576e+07,2.2747e+08,5.2894e+08
2,1.3450e+04,4.8406e+08,7.0254e+09,1.0895e+10
3,1.0403e+04,3.3825e+04,7.3947e+04,1.4896e+05
4,1.1080e+02,1.1629e+02,1.1709e+03,2.1875e+03
5,2.0580e+01,2.0818e+01,2.0938e+01,2.1220e+01
6,1.6482e+01,1.6396e+01,2.3216e+01,3.6711e+01
7,1.0498e-02,7.7646e+00,8.4085e+01,9.5861e+01
8,5.4164e+01,6.0486e+01,1.0737e+02,2.6471e+02
9,8.0978e+01,8.9456e+01,1.3908e+02,3.1541e+02
10,2.2620e+03,2.3830e+03,3.3953e+03,6.2754e+03
11,3.4862e+03,3.5528e+03,5.2612e+03,8.2489e+03
12,7.3543e-01,6.8698e-01,2.0002e+00,4.2148e+00
13,3.3045e-01,4.9448e-01,1.7247e+00,2.5160e+00
14,2.8790e-01,4.0220e-01,2.6848e+01,3.4186e+01
15,1.2691e+01,2.4248e+02,4.6087e+03,1.0392e+05
16,1.2349e+01,1.2669e+01,1.3033e+01,1.3722e+01
17,1.3011e+06,2.6496e+06,1.7936e+07,3.7637e+07
18,2.8326e+03,6.0032e+04,7.6977e+07,1.1914e+08
19,1.6123e+01,2.1213e+01,1.0567e+02,1.5890e+02
20,1.7651e+04,3.7834e+04,7.2387e+04,3.5490e+05
21,4.0684e+05,7.0658e+05,4.2400e+06,8.9406e+06
22,4.1445e+02,4.6696e+02,8.4628e+02,1.1379e+03
23,3.1524e+02,3.2100e+02,3.6163e+02,4.1726e+02
24,2.3491e+02,2.4530e+02,2.5852e+02,2.8202e+02
25,2.1120e+02,2.1043e+02,2.2464e+02,2.4837e+02
26,1.0041e+02,1.0058e+02,1.2663e+02,1.5813e+02
27,7.1579e+02,7.2813e+02,9.4192e+02,1.1646e+03
28,9.8711e+02,1.0412e+03,2.4785e+03,3.8773e+03
29,3.7113e+03,9.2152e+05,4.6336e+07,1.3451e+07
30,4.6512e+03,1.7286e+04,2.2552e+05,2.7559e+05
